10231-08-1-1,E.COL,SWAB,FEL,1/30/2008 9:34,AMIKAC,<=       4,SUSC,AMOCLA, =       8,SUSC,AMPICI, >      16,RESIST,,,,,,,,,,CEFAZO,<=       2,SUSC,CEFOXI, =       4,SUSC,CEFPOD,<=       2,SUSC,CEFTIF,<=    0.25,NOINTP,,,,CEPHAL, =       8,SUSC,CHLORA, >      16,RESIST,,,,CLINDA, >       2,RESIST,ENROFL,<=     0.5,SUSC,ERYTH, >       4,RESIST,,,,,,,GENTAM,<=       1,SUSC,IMIPEN,<=       1,SUSC,,,,MARBOF,<=    0.25,SUSC,,,,,,,ORBIFL,<=       1,SUSC,OXACIL, >       4,RESIST,,,,PENICI, >       8,RESIST,,,,,,,RIFAMP, >       2,RESIST,TETRA,<=       1,SUSC,TICARC, >      64,RESIST,TICCLA,<=       8,SUSC,,,,TRISUL,<=     0.5,SUSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12181-08-1-1,E.COL,LVR,FEL,2/2/2008 4:13,AMIKAC,<=       4,SUSC,AMOCLA, >      32,RESIST,AMPICI, >      16,RESIST,,,,,,,,,,CEFAZO, >      16,RESIST,CEFOXI, >      16,RESIST,CEFPOD, >      16,RESIST,CEFTIF, >       4,NOINTP,,,,CEPHAL, >      16,RESIST,CHLORA, >      16,RESIST,,,,CLINDA, >       2,RESIST,ENROFL, >       4,RESIST,ERYTH, >       4,RESIST,,,,,,,GENTAM, =       2,SUSC,IMIPEN,<=       1,SUSC,,,,MARBOF, >       2,RESIST,,,,,,,ORBIFL, >       4,RESIST,OXACIL, >       4,RESIST,,,,PENICI, >       8,RESIST,,,,,,,RIFAMP, >       2,RESIST,TETRA, >       8,RESIST,TICARC, >      64,RESIST,TICCLA, >      64,RESIST,,,,TRISUL, >       2,RESIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11230-08-1-1,E.COL,ABS,FEL,2/2/2008 9:48,AMIKAC,<=       4,SUSC,AMOCLA,<=       4,SUSC,AMPICI, =       2,SUSC,,,,,,,,,,CEFAZO,<=       2,SUSC,CEFOXI, =       4,SUSC,CEFPOD,<=       2,SUSC,CEFTIF, =     0.5,NOINTP,,,,CEPHAL, =       8,SUSC,CHLORA,<=       4,SUSC,,,,CLINDA, >       2,RESIST,ENROFL,<=     0.5,SUSC,ERYTH, >       4,RESIST,,,,,,,GENTAM,<=       1,SUSC,IMIPEN,<=       1,SUSC,,,,MARBOF,<=    0.25,SUSC,,,,,,,ORBIFL,<=       1,SUSC,OXACIL, >       4,RESIST,,,,PENICI, >       8,RESIST,,,,,,,RIFAMP, >       2,RESIST,TETRA,<=       1,SUSC,TICARC,<=       8,SUSC,TICCLA,<=       8,SUSC,,,,TRISUL,<=     0.5,SUSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12167-08-1-1,E.COL,ASPN,FEL,2/3/2008 6:15,AMIKAC,<=       4,SUSC,AMOCLA, =      32,RESIST,AMPICI, >      16,RESIST,,,,,,,,,,CEFAZO, >      16,RESIST,CEFOXI, >      16,RESIST,CEFPOD, >      16,RESIST,CEFTIF, >       4,NOINTP,,,,CEPHAL, >      16,RESIST,CHLORA, >      16,RESIST,,,,CLINDA, >       2,RESIST,ENROFL, >       4,RESIST,ERYTH, >       4,RESIST,,,,,,,GENTAM, =       4,SUSC,IMIPEN,<=       1,SUSC,,,,MARBOF, >       2,RESIST,,,,,,,ORBIFL, >       4,RESIST,OXACIL, >       4,RESIST,,,,PENICI, >       8,RESIST,,,,,,,RIFAMP, >       2,RESIST,TETRA, >       8,RESIST,TICARC, >      64,RESIST,TICCLA, >      64,RESIST,,,,TRISUL, >       2,RESIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13127-08-1-1,S.EPI,CORN,FEL,2/7/2008 17:01,AMIKAC,<=      32,INTER,,,,,,,,,,BACITR, >       2,RESIST,,,,,,,,,,,,,,,,,,,,,,CHLORA,<=      16,INTER,CIPROF,<=       2,INTER,,,,,,,ERYTH,<=       4,INTER,,,,,,,GENTAM,<=       8,INTER,,,,,,,,,,,,,NEOMYC,<=       8,SUSC,,,,,,,OXYTET,<=       8,INTER,,,,POLYB,<=       5,NOINTP,,,,,,,,,,TICARC,<=      64,INTER,,,,TOBRAM,<=       8,INTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21152-08-1-1,E.COL,TPNC,FEL,2/28/2008 6:31,,,,AMOCLA, =       4,SUSC,AMPICI,<=       2,SUSC,,,,,,,,,,,,,,,,,,,CEFTIF,<=     0.5,NOINTP,CEPALE,<=       4,SUSC,,,,,,,,,,,,,ENROFL,<=    0.03,SUSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TETRA,<=       2,SUSC,,,,,,,,,,TRISUL,<=       2,SUSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34554-08-1-1,E.COL,BACIS,FEL,3/27/2008 6:40,,,,AMOCLA,<=       2,SUSC,AMPICI,<=       2,SUSC,,,,,,,,,,,,,,,,,,,CEFTIF,<=     0.5,NOINTP,CEPALE,<=       4,SUSC,,,,,,,,,,,,,ENROFL,<=    0.03,SUSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TETRA, =       8,INTER,,,,,,,,,,TRISUL,<=       2,SUSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34521-08-1-3,E.COL,LVR,FEL,3/28/2008 11:22,AMIKAC,<=       4,SUSC,AMOCLA, =       8,SUSC,AMPICI, >      16,RESIST,,,,,,,,,,CEFAZO,<=       2,SUSC,CEFOXI,<=       2,SUSC,CEFPOD,<=       2,SUSC,CEFTIF,<=    0.25,NOINTP,,,,CEPHAL, =       8,SUSC,CHLORA,<=       4,SUSC,,,,CLINDA, >       2,RESIST,ENROFL,<=     0.5,SUSC,ERYTH, >       4,RESIST,,,,,,,GENTAM,<=       1,SUSC,IMIPEN,<=       1,SUSC,,,,MARBOF,<=    0.25,SUSC,,,,,,,ORBIFL,<=       1,SUSC,OXACIL, >       4,RESIST,,,,PENICI, >       8,RESIST,,,,,,,RIFAMP, >       2,RESIST,TETRA,<=       1,SUSC,TICARC, >      64,RESIST,TICCLA,<=       8,SUSC,,,,TRISUL,<=     0.5,SUSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38339-08-1-1,S.EPI,CORN,FEL,4/3/2008 10:48,AMIKAC,<=      32,INTER,,,,,,,,,,BACITR, >       2,RESIST,,,,,,,,,,,,,,,,,,,,,,CHLORA,<=      16,INTER,CIPROF,<=       2,INTER,,,,,,,ERYTH,<=       4,INTER,,,,,,,GENTAM,<=       8,INTER,,,,,,,,,,,,,NEOMYC,<=       8,SUSC,,,,,,,OXYTET,<=       8,INTER,,,,POLYB, >       5,RESIST,,,,,,,,,,TICARC,<=      64,INTER,,,,TOBRAM,<=       8,INTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34521-08-1-5,E.COL,LNG,FEL,4/5/2008 6:57,AMIKAC,<=       4,SUSC,AMOCLA, =       8,SUSC,AMPICI, >      16,RESIST,,,,,,,,,,CEFAZO,<=       2,SUSC,CEFOXI,<=       2,SUSC,CEFPOD,<=       2,SUSC,CEFTIF,<=    0.25,NOINTP,,,,CEPHAL, =       8,SUSC,CHLORA, =       8,SUSC,,,,CLINDA, >       2,RESIST,ENROFL,<=     0.5,SUSC,ERYTH, >       4,RESIST,,,,,,,GENTAM,<=       1,SUSC,IMIPEN,<=       1,SUSC,,,,MARBOF,<=    0.25,SUSC,,,,,,,ORBIFL,<=       1,SUSC,OXACIL, >       4,RESIST,,,,PENICI, >       8,RESIST,,,,,,,RIFAMP, >       2,RESIST,TETRA,<=       1,SUSC,TICARC, >      64,RESIST,TICCLA,<=       8,SUSC,,,,TRISUL,<=     0.5,SUSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
